Student ID,Class Activity -- Oct9 [Total Pts: 10 Score] |2336087,OCt 10: Class Activities [Total Pts: 10 Score] |2336877,Lab: Oct11 [Total Pts: 10 Score] |2337058,Oct15:Class Activities [Total Pts: 10 Score] |2338422,Lab:Oct16 [Total Pts: 10 Score] |2338579,Class Activity Oct17 [Total Pts: 10 Score] |2339309,Lab-Oct18 [Total Pts: 10 Score] |2339494,"Oct22, Class Activity [Total Pts: 10 Score] |2340310",Lab-Oct23 [Total Pts: 10 Score] |2340400,Class Activity: OCT24 [Total Pts: 10 Score] |2340833,Lab-Oct25 [Total Pts: 10 Score] |2340970,Final Project [Total Pts: 100 Score] |2340979,Final Project Documentation [Total Pts: 10 Score] |2343801
147618193,10,10,10,10,10,10,10,10,9,10,10,96,
141102194,9,10,10,10,10,10,10,10,10,9,10,89,
147619191,10,10,10,10,10,8,10,9,8,8,9,75,
147620199,10,10,10,10,10,10,10,10,10,10,10,96,
147616198,,,,,,,,,,,,,
105721100,10,10,10,10,10,10,10,10,10,10,10,92,
34978130,10,10,10,10,10,10,10,10,10,9,10,95,10
147622195,10,10,8,10,10,10,8,8,9,9,10,94,7
72119100,10,10,8,10,10,10,9,10,9,8,9,93,
147623193,10,10,10,10,10,10,10,9,9,8,10,87,
147624191,10,10,,10,10,9,,7,,8,4,80,
147625198,10,10,10,10,10,10,10,10,9,8,9,92,7
147626196,10,10,10,10,10,9,10,,8,9,10,85,
147627194,7,,,3,7,2,3,8,,8,6,80,8
147628192,10,10,9,10,10,10,10,10,9,8,9,92,7
147639199,10,10,10,10,10,10,10,10,10,9,10,90,
147641195,10,10,9,10,10,10,10,10,9,9,9,92,10
147642193,10,10,10,10,10,10,10,10,10,10,10,95,10
147645196,10,10,10,10,10,10,10,10,10,10,10,94,
147618400,10,,10,10,10,10,10,5,,,,55,3
